
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 21:53:13,451] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:13,729] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,228] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,441] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,883] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,097] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,420] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,633] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,974] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,185] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,502] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,712] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1420: loss 1.3548, time 40.84ms, mfu 8.90%
iter 1430: loss 1.3249, time 40.89ms, mfu 8.93%
iter 1440: loss 1.3446, time 41.20ms, mfu 8.94%
iter 1450: loss 1.3257, time 40.78ms, mfu 8.96%
iter 1460: loss 1.3330, time 41.10ms, mfu 8.97%
iter 1470: loss 1.3097, time 41.04ms, mfu 8.98%
iter 1480: loss 1.3066, time 40.94ms, mfu 8.99%
iter 1490: loss 1.3282, time 41.05ms, mfu 9.00%
step 1500: train loss 1.2298, val loss 1.4952
saving checkpoint to perp
iter 1500: loss 1.2757, time 5032.18ms, mfu 8.11%
iter 1510: loss 1.3287, time 41.03ms, mfu 8.21%
iter 1520: loss 1.3196, time 40.84ms, mfu 8.30%
iter 1530: loss 1.3500, time 40.93ms, mfu 8.38%
iter 1540: loss 1.2822, time 40.84ms, mfu 8.45%
iter 1550: loss 1.3314, time 40.83ms, mfu 8.52%
iter 1560: loss 1.3032, time 40.83ms, mfu 8.58%
iter 1570: loss 1.3290, time 41.74ms, mfu 8.62%
iter 1580: loss 1.3000, time 40.83ms, mfu 8.67%
iter 1590: loss 1.2858, time 40.93ms, mfu 8.71%
iter 1600: loss 1.2955, time 41.14ms, mfu 8.74%
iter 1610: loss 1.3318, time 40.81ms, mfu 8.78%
iter 1620: loss 1.2733, time 41.17ms, mfu 8.81%
iter 1630: loss 1.2925, time 40.91ms, mfu 8.84%
iter 1640: loss 1.2921, time 41.12ms, mfu 8.86%
iter 1650: loss 1.2670, time 41.02ms, mfu 8.88%
iter 1660: loss 1.3074, time 42.18ms, mfu 8.88%
iter 1670: loss 1.2990, time 40.82ms, mfu 8.90%
iter 1680: loss 1.3008, time 40.82ms, mfu 8.93%
iter 1690: loss 1.2935, time 41.09ms, mfu 8.94%
iter 1700: loss 1.2849, time 40.89ms, mfu 8.96%
iter 1710: loss 1.2748, time 41.04ms, mfu 8.97%
iter 1720: loss 1.2803, time 40.84ms, mfu 8.99%
iter 1730: loss 1.2975, time 40.95ms, mfu 9.00%
iter 1740: loss 1.2624, time 40.88ms, mfu 9.01%
step 1750: train loss 1.1866, val loss 1.4760
saving checkpoint to perp
iter 1750: loss 1.2832, time 4987.48ms, mfu 8.12%
iter 1760: loss 1.2880, time 42.26ms, mfu 8.19%
iter 1770: loss 1.2854, time 41.28ms, mfu 8.27%
iter 1780: loss 1.2858, time 40.99ms, mfu 8.35%
iter 1790: loss 1.2878, time 41.04ms, mfu 8.42%
iter 1800: loss 1.2713, time 40.68ms, mfu 8.50%
