
step 0: train loss 4.2874, val loss 4.2823
[2023-10-20 13:05:31,093] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:31,837] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:32,961] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,173] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,621] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:33,836] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,158] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,371] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,693] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:34,906] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:35,229] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-20 13:05:35,442] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1100: loss 1.4501, time 45.10ms, mfu 8.61%
iter 1110: loss 1.4326, time 41.14ms, mfu 8.66%
iter 1120: loss 1.4230, time 44.59ms, mfu 8.63%
iter 1130: loss 1.4207, time 41.18ms, mfu 8.67%
iter 1140: loss 1.4321, time 42.34ms, mfu 8.68%
iter 1150: loss 1.4349, time 42.06ms, mfu 8.70%
iter 1160: loss 1.4627, time 41.82ms, mfu 8.72%
iter 1170: loss 1.4265, time 43.35ms, mfu 8.71%
iter 1180: loss 1.4440, time 42.40ms, mfu 8.72%
iter 1190: loss 1.3992, time 41.11ms, mfu 8.75%
iter 1200: loss 1.4217, time 43.35ms, mfu 8.74%
iter 1210: loss 1.3974, time 40.73ms, mfu 8.78%
iter 1220: loss 1.4382, time 40.73ms, mfu 8.81%
iter 1230: loss 1.4309, time 40.73ms, mfu 8.85%
iter 1240: loss 1.4318, time 41.95ms, mfu 8.85%
step 1250: train loss 1.3148, val loss 1.5435
saving checkpoint to perp
iter 1250: loss 1.4066, time 4978.99ms, mfu 7.97%
iter 1260: loss 1.4089, time 40.83ms, mfu 8.09%
iter 1270: loss 1.3867, time 43.77ms, mfu 8.13%
iter 1280: loss 1.3789, time 41.03ms, mfu 8.23%
iter 1290: loss 1.4188, time 41.14ms, mfu 8.31%
iter 1300: loss 1.4331, time 41.02ms, mfu 8.39%
iter 1310: loss 1.3579, time 43.24ms, mfu 8.41%
iter 1320: loss 1.4259, time 40.89ms, mfu 8.48%
iter 1330: loss 1.3943, time 40.89ms, mfu 8.54%
iter 1340: loss 1.4219, time 41.36ms, mfu 8.59%
iter 1350: loss 1.3838, time 40.99ms, mfu 8.64%
iter 1360: loss 1.3955, time 41.02ms, mfu 8.68%
iter 1370: loss 1.3818, time 40.79ms, mfu 8.73%
iter 1380: loss 1.3866, time 40.80ms, mfu 8.77%
iter 1390: loss 1.3825, time 41.10ms, mfu 8.80%
iter 1400: loss 1.3865, time 41.04ms, mfu 8.83%
iter 1410: loss 1.3741, time 43.37ms, mfu 8.80%
iter 1420: loss 1.4031, time 40.82ms, mfu 8.84%
iter 1430: loss 1.3678, time 40.76ms, mfu 8.87%
iter 1440: loss 1.3861, time 43.42ms, mfu 8.84%
iter 1450: loss 1.3628, time 43.22ms, mfu 8.82%
iter 1460: loss 1.3658, time 43.28ms, mfu 8.80%
iter 1470: loss 1.3453, time 43.25ms, mfu 8.78%
iter 1480: loss 1.3460, time 40.94ms, mfu 8.81%
iter 1490: loss 1.3703, time 40.80ms, mfu 8.84%
step 1500: train loss 1.2704, val loss 1.5108
saving checkpoint to perp
iter 1500: loss 1.3162, time 5014.30ms, mfu 7.97%
iter 1510: loss 1.3669, time 40.85ms, mfu 8.08%
iter 1520: loss 1.3513, time 40.92ms, mfu 8.18%
iter 1530: loss 1.3996, time 41.09ms, mfu 8.27%
iter 1540: loss 1.3235, time 40.83ms, mfu 8.36%
iter 1550: loss 1.3720, time 41.06ms, mfu 8.43%
iter 1560: loss 1.3489, time 43.20ms, mfu 8.45%
iter 1570: loss 1.3634, time 40.70ms, mfu 8.52%
iter 1580: loss 1.3442, time 40.86ms, mfu 8.58%
iter 1590: loss 1.3225, time 43.57ms, mfu 8.58%
iter 1600: loss 1.3356, time 43.08ms, mfu 8.58%
iter 1610: loss 1.3645, time 43.50ms, mfu 8.58%
iter 1620: loss 1.3153, time 40.57ms, mfu 8.64%
iter 1630: loss 1.3344, time 41.79ms, mfu 8.67%
iter 1640: loss 1.3247, time 40.61ms, mfu 8.72%
iter 1650: loss 1.3073, time 45.35ms, mfu 8.67%
iter 1660: loss 1.3544, time 40.87ms, mfu 8.72%
iter 1670: loss 1.3381, time 40.52ms, mfu 8.76%
iter 1680: loss 1.3363, time 40.47ms, mfu 8.81%
iter 1690: loss 1.3319, time 43.64ms, mfu 8.78%
iter 1700: loss 1.3259, time 40.44ms, mfu 8.82%
iter 1710: loss 1.3175, time 40.64ms, mfu 8.86%
iter 1720: loss 1.3199, time 40.47ms, mfu 8.89%
iter 1730: loss 1.3335, time 40.47ms, mfu 8.92%
iter 1740: loss 1.3062, time 40.72ms, mfu 8.95%
step 1750: train loss 1.2376, val loss 1.4965
saving checkpoint to perp
iter 1750: loss 1.3283, time 4962.69ms, mfu 8.06%
iter 1760: loss 1.3310, time 40.55ms, mfu 8.17%
iter 1770: loss 1.3327, time 40.63ms, mfu 8.27%
iter 1780: loss 1.3307, time 40.68ms, mfu 8.36%
iter 1790: loss 1.3316, time 41.13ms, mfu 8.43%
iter 1800: loss 1.3177, time 43.70ms, mfu 8.44%
iter 1810: loss 1.2926, time 40.57ms, mfu 8.52%
iter 1820: loss 1.3076, time 40.95ms, mfu 8.57%
iter 1830: loss 1.3016, time 40.60ms, mfu 8.63%
iter 1840: loss 1.2997, time 40.57ms, mfu 8.69%
iter 1850: loss 1.3041, time 40.50ms, mfu 8.74%
iter 1860: loss 1.3147, time 40.62ms, mfu 8.78%
iter 1870: loss 1.2888, time 43.53ms, mfu 8.76%
iter 1880: loss 1.3055, time 40.48ms, mfu 8.81%
iter 1890: loss 1.3126, time 40.68ms, mfu 8.84%
iter 1900: loss 1.2771, time 40.81ms, mfu 8.87%
iter 1910: loss 1.3168, time 40.89ms, mfu 8.89%
iter 1920: loss 1.3118, time 40.60ms, mfu 8.92%
iter 1930: loss 1.2904, time 40.68ms, mfu 8.95%
iter 1940: loss 1.2732, time 40.81ms, mfu 8.96%
iter 1950: loss 1.2738, time 40.97ms, mfu 8.98%
iter 1960: loss 1.2996, time 40.70ms, mfu 9.00%
iter 1970: loss 1.2842, time 40.52ms, mfu 9.02%
iter 1980: loss 1.3002, time 40.70ms, mfu 9.03%
iter 1990: loss 1.2951, time 40.94ms, mfu 9.04%
step 2000: train loss 1.2045, val loss 1.4822
saving checkpoint to perp
iter 2000: loss 1.2775, time 4977.96ms, mfu 8.14%
iter 2010: loss 1.2783, time 40.52ms, mfu 8.25%
iter 2020: loss 1.2684, time 40.94ms, mfu 8.33%
iter 2030: loss 1.3046, time 41.17ms, mfu 8.40%
iter 2040: loss 1.2874, time 41.13ms, mfu 8.47%
iter 2050: loss 1.2554, time 40.62ms, mfu 8.54%
iter 2060: loss 1.2447, time 40.63ms, mfu 8.60%
iter 2070: loss 1.2716, time 40.65ms, mfu 8.66%
iter 2080: loss 1.2558, time 40.71ms, mfu 8.71%
iter 2090: loss 1.2852, time 40.57ms, mfu 8.76%
iter 2100: loss 1.2733, time 40.66ms, mfu 8.80%
iter 2110: loss 1.2693, time 40.54ms, mfu 8.84%
iter 2120: loss 1.2706, time 40.55ms, mfu 8.87%
iter 2130: loss 1.2839, time 40.58ms, mfu 8.90%
iter 2140: loss 1.2903, time 40.52ms, mfu 8.93%
iter 2150: loss 1.2693, time 40.57ms, mfu 8.96%
iter 2160: loss 1.3129, time 40.66ms, mfu 8.98%
iter 2170: loss 1.2880, time 40.56ms, mfu 9.00%
iter 2180: loss 1.2667, time 40.58ms, mfu 9.02%
iter 2190: loss 1.2568, time 40.67ms, mfu 9.03%
iter 2200: loss 1.2840, time 40.54ms, mfu 9.05%
iter 2210: loss 1.2542, time 40.68ms, mfu 9.06%
iter 2220: loss 1.2709, time 40.66ms, mfu 9.07%
iter 2230: loss 1.2709, time 40.53ms, mfu 9.08%
iter 2240: loss 1.2894, time 40.58ms, mfu 9.09%
step 2250: train loss 1.1713, val loss 1.4619
saving checkpoint to perp
iter 2250: loss 1.2601, time 4983.45ms, mfu 8.19%
