
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:20:24,983] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:25,660] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:26,499] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:26,717] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,193] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,410] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,755] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,980] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,325] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,546] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,877] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:29,096] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1420: loss 1.3853, time 42.37ms, mfu 8.63%
iter 1430: loss 1.3521, time 41.15ms, mfu 8.67%
iter 1440: loss 1.3688, time 41.31ms, mfu 8.71%
iter 1450: loss 1.3462, time 42.25ms, mfu 8.72%
iter 1460: loss 1.3545, time 41.64ms, mfu 8.74%
iter 1470: loss 1.3328, time 53.90ms, mfu 8.56%
iter 1480: loss 1.3346, time 42.51ms, mfu 8.58%
iter 1490: loss 1.3491, time 42.47ms, mfu 8.60%
step 1500: train loss 1.2561, val loss 1.5085
saving checkpoint to perp
iter 1500: loss 1.3062, time 4971.45ms, mfu 7.75%
iter 1510: loss 1.3514, time 40.93ms, mfu 7.88%
iter 1520: loss 1.3370, time 43.16ms, mfu 7.96%
iter 1530: loss 1.3756, time 40.98ms, mfu 8.07%
iter 1540: loss 1.3031, time 40.98ms, mfu 8.17%
iter 1550: loss 1.3503, time 41.34ms, mfu 8.26%
iter 1560: loss 1.3290, time 41.00ms, mfu 8.34%
iter 1570: loss 1.3574, time 40.99ms, mfu 8.42%
iter 1580: loss 1.3207, time 41.47ms, mfu 8.47%
iter 1590: loss 1.2947, time 41.21ms, mfu 8.53%
iter 1600: loss 1.3111, time 41.00ms, mfu 8.59%
iter 1610: loss 1.3474, time 40.97ms, mfu 8.64%
iter 1620: loss 1.2981, time 40.88ms, mfu 8.68%
iter 1630: loss 1.3202, time 41.03ms, mfu 8.72%
iter 1640: loss 1.3192, time 42.54ms, mfu 8.73%
iter 1650: loss 1.2879, time 40.95ms, mfu 8.76%
iter 1660: loss 1.3341, time 42.84ms, mfu 8.76%
iter 1670: loss 1.3177, time 41.20ms, mfu 8.79%
iter 1680: loss 1.3227, time 40.92ms, mfu 8.82%
iter 1690: loss 1.3145, time 41.01ms, mfu 8.85%
iter 1700: loss 1.3062, time 42.63ms, mfu 8.83%
iter 1710: loss 1.3002, time 41.09ms, mfu 8.86%
iter 1720: loss 1.3001, time 41.40ms, mfu 8.87%
iter 1730: loss 1.3194, time 41.68ms, mfu 8.88%
iter 1740: loss 1.2901, time 41.13ms, mfu 8.90%
step 1750: train loss 1.2121, val loss 1.4813
saving checkpoint to perp
iter 1750: loss 1.3073, time 4983.33ms, mfu 8.02%
iter 1760: loss 1.3107, time 42.50ms, mfu 8.09%
iter 1770: loss 1.3131, time 42.57ms, mfu 8.16%
iter 1780: loss 1.3123, time 41.27ms, mfu 8.24%
iter 1790: loss 1.3091, time 52.76ms, mfu 8.13%
iter 1800: loss 1.2946, time 40.80ms, mfu 8.23%
iter 1810: loss 1.2727, time 42.48ms, mfu 8.28%
iter 1820: loss 1.2884, time 40.87ms, mfu 8.36%
iter 1830: loss 1.2795, time 40.97ms, mfu 8.44%
iter 1840: loss 1.2759, time 52.12ms, mfu 8.31%
iter 1850: loss 1.2847, time 42.48ms, mfu 8.35%
iter 1860: loss 1.2961, time 42.52ms, mfu 8.40%
iter 1870: loss 1.2558, time 41.10ms, mfu 8.46%
iter 1880: loss 1.2975, time 41.24ms, mfu 8.52%
iter 1890: loss 1.3054, time 40.87ms, mfu 8.58%
iter 1900: loss 1.2547, time 40.80ms, mfu 8.64%
iter 1910: loss 1.2894, time 42.51ms, mfu 8.65%
iter 1920: loss 1.2854, time 40.87ms, mfu 8.70%
iter 1930: loss 1.2665, time 41.05ms, mfu 8.73%
iter 1940: loss 1.2535, time 41.08ms, mfu 8.77%
iter 1950: loss 1.2615, time 40.87ms, mfu 8.80%
iter 1960: loss 1.2804, time 42.64ms, mfu 8.80%
iter 1970: loss 1.2639, time 42.51ms, mfu 8.79%
iter 1980: loss 1.2786, time 42.43ms, mfu 8.79%
iter 1990: loss 1.2707, time 41.10ms, mfu 8.82%
step 2000: train loss 1.1797, val loss 1.4815
iter 2000: loss 1.2567, time 4696.18ms, mfu 7.95%
iter 2010: loss 1.2581, time 40.89ms, mfu 8.06%
iter 2020: loss 1.2393, time 40.94ms, mfu 8.17%
iter 2030: loss 1.2824, time 40.91ms, mfu 8.26%
iter 2040: loss 1.2638, time 40.88ms, mfu 8.35%
iter 2050: loss 1.2288, time 40.94ms, mfu 8.42%
iter 2060: loss 1.2244, time 41.46ms, mfu 8.48%
iter 2070: loss 1.2482, time 41.22ms, mfu 8.53%
iter 2080: loss 1.2419, time 41.97ms, mfu 8.57%
iter 2090: loss 1.2633, time 40.96ms, mfu 8.62%
iter 2100: loss 1.2546, time 40.98ms, mfu 8.67%
iter 2110: loss 1.2502, time 40.97ms, mfu 8.71%
iter 2120: loss 1.2558, time 40.94ms, mfu 8.75%
iter 2130: loss 1.2588, time 40.94ms, mfu 8.79%
iter 2140: loss 1.2621, time 40.94ms, mfu 8.82%
iter 2150: loss 1.2477, time 40.97ms, mfu 8.84%
iter 2160: loss 1.2799, time 40.96ms, mfu 8.87%
iter 2170: loss 1.2613, time 41.66ms, mfu 8.88%
iter 2180: loss 1.2463, time 40.96ms, mfu 8.90%
iter 2190: loss 1.2349, time 40.94ms, mfu 8.92%
iter 2200: loss 1.2503, time 40.95ms, mfu 8.94%
iter 2210: loss 1.2322, time 40.98ms, mfu 8.95%
iter 2220: loss 1.2399, time 41.00ms, mfu 8.97%
iter 2230: loss 1.2411, time 40.96ms, mfu 8.98%
iter 2240: loss 1.2605, time 40.96ms, mfu 8.99%
step 2250: train loss 1.1474, val loss 1.4612
saving checkpoint to perp
iter 2250: loss 1.2410, time 4944.85ms, mfu 8.10%
iter 2260: loss 1.2281, time 42.50ms, mfu 8.17%
iter 2270: loss 1.2719, time 40.92ms, mfu 8.26%
iter 2280: loss 1.2215, time 42.45ms, mfu 8.31%
iter 2290: loss 1.2732, time 40.90ms, mfu 8.39%
iter 2300: loss 1.2558, time 40.88ms, mfu 8.46%
iter 2310: loss 1.2217, time 40.89ms, mfu 8.53%
iter 2320: loss 1.2287, time 40.89ms, mfu 8.59%
iter 2330: loss 1.2321, time 41.07ms, mfu 8.64%
iter 2340: loss 1.2569, time 40.93ms, mfu 8.68%
iter 2350: loss 1.2382, time 40.91ms, mfu 8.73%
iter 2360: loss 1.2343, time 41.26ms, mfu 8.76%
iter 2370: loss 1.2235, time 42.52ms, mfu 8.76%
iter 2380: loss 1.2187, time 42.55ms, mfu 8.76%
iter 2390: loss 1.2092, time 41.03ms, mfu 8.79%
