
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 14:53:42,819] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,078] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,471] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:43,687] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,134] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,347] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,665] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:44,876] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,193] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,403] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,720] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 14:53:45,930] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1240: loss 1.4777, time 43.17ms, mfu 8.78%
step 1250: train loss 1.3685, val loss 1.5892
saving checkpoint to perp
iter 1250: loss 1.4480, time 4946.70ms, mfu 7.91%
iter 1260: loss 1.4638, time 41.93ms, mfu 8.01%
iter 1270: loss 1.4398, time 41.92ms, mfu 8.09%
iter 1280: loss 1.4396, time 41.76ms, mfu 8.18%
iter 1290: loss 1.4653, time 41.59ms, mfu 8.26%
iter 1300: loss 1.4878, time 41.57ms, mfu 8.33%
iter 1310: loss 1.4222, time 41.66ms, mfu 8.39%
iter 1320: loss 1.4841, time 41.87ms, mfu 8.44%
iter 1330: loss 1.4510, time 41.57ms, mfu 8.49%
iter 1340: loss 1.4813, time 41.58ms, mfu 8.54%
iter 1350: loss 1.4371, time 43.21ms, mfu 8.55%
iter 1360: loss 1.4552, time 43.17ms, mfu 8.56%
iter 1370: loss 1.4385, time 41.89ms, mfu 8.59%
iter 1380: loss 1.4431, time 41.78ms, mfu 8.62%
iter 1390: loss 1.4363, time 41.60ms, mfu 8.66%
iter 1400: loss 1.4455, time 41.57ms, mfu 8.69%
iter 1410: loss 1.4235, time 41.59ms, mfu 8.71%
iter 1420: loss 1.4417, time 41.56ms, mfu 8.74%
iter 1430: loss 1.4233, time 41.59ms, mfu 8.76%
iter 1440: loss 1.4480, time 41.56ms, mfu 8.78%
iter 1450: loss 1.4080, time 41.54ms, mfu 8.80%
iter 1460: loss 1.4234, time 41.54ms, mfu 8.82%
iter 1470: loss 1.4009, time 41.50ms, mfu 8.83%
iter 1480: loss 1.3996, time 41.70ms, mfu 8.84%
iter 1490: loss 1.4292, time 41.77ms, mfu 8.85%
step 1500: train loss 1.3251, val loss 1.5505
saving checkpoint to perp
iter 1500: loss 1.3763, time 4936.44ms, mfu 7.97%
iter 1510: loss 1.4334, time 43.25ms, mfu 8.04%
iter 1520: loss 1.4113, time 41.42ms, mfu 8.13%
iter 1530: loss 1.4505, time 42.84ms, mfu 8.19%
iter 1540: loss 1.3781, time 41.69ms, mfu 8.26%
iter 1550: loss 1.4251, time 41.81ms, mfu 8.33%
iter 1560: loss 1.4032, time 41.42ms, mfu 8.40%
iter 1570: loss 1.4360, time 41.35ms, mfu 8.46%
iter 1580: loss 1.3914, time 41.33ms, mfu 8.51%
iter 1590: loss 1.3756, time 41.41ms, mfu 8.56%
iter 1600: loss 1.3871, time 41.37ms, mfu 8.61%
iter 1610: loss 1.4253, time 41.65ms, mfu 8.64%
iter 1620: loss 1.3668, time 41.31ms, mfu 8.68%
iter 1630: loss 1.3982, time 41.51ms, mfu 8.71%
iter 1640: loss 1.3900, time 41.35ms, mfu 8.74%
iter 1650: loss 1.3616, time 41.62ms, mfu 8.76%
iter 1660: loss 1.4004, time 41.86ms, mfu 8.77%
iter 1670: loss 1.3900, time 41.72ms, mfu 8.79%
iter 1680: loss 1.3893, time 41.35ms, mfu 8.81%
iter 1690: loss 1.3954, time 41.43ms, mfu 8.83%
iter 1700: loss 1.3800, time 41.34ms, mfu 8.85%
iter 1710: loss 1.3761, time 41.80ms, mfu 8.86%
iter 1720: loss 1.3774, time 41.34ms, mfu 8.87%
iter 1730: loss 1.3922, time 41.46ms, mfu 8.88%
iter 1740: loss 1.3623, time 41.34ms, mfu 8.90%
step 1750: train loss 1.2816, val loss 1.5284
saving checkpoint to perp
iter 1750: loss 1.3808, time 4930.65ms, mfu 8.01%
iter 1760: loss 1.3830, time 43.25ms, mfu 8.07%
iter 1770: loss 1.3849, time 41.60ms, mfu 8.16%
iter 1780: loss 1.3862, time 42.87ms, mfu 8.22%
iter 1790: loss 1.3890, time 41.90ms, mfu 8.28%
iter 1800: loss 1.3702, time 41.84ms, mfu 8.35%
iter 1810: loss 1.3466, time 41.87ms, mfu 8.40%
iter 1820: loss 1.3674, time 41.52ms, mfu 8.46%
iter 1830: loss 1.3602, time 41.52ms, mfu 8.51%
iter 1840: loss 1.3543, time 41.52ms, mfu 8.56%
iter 1850: loss 1.3612, time 41.62ms, mfu 8.60%
iter 1860: loss 1.3722, time 41.36ms, mfu 8.64%
iter 1870: loss 1.3307, time 42.87ms, mfu 8.64%
iter 1880: loss 1.3618, time 41.63ms, mfu 8.67%
iter 1890: loss 1.3748, time 41.74ms, mfu 8.70%
iter 1900: loss 1.3345, time 43.22ms, mfu 8.69%
