
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:47:26,590] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:26,847] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,238] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,453] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,907] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,124] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,450] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,665] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,988] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,206] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,534] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,753] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1020: loss 1.4922, time 42.63ms, mfu 8.11%
iter 1030: loss 1.5150, time 42.64ms, mfu 8.17%
iter 1040: loss 1.5415, time 42.70ms, mfu 8.23%
iter 1050: loss 1.4748, time 42.68ms, mfu 8.28%
iter 1060: loss 1.5308, time 41.53ms, mfu 8.35%
iter 1070: loss 1.5124, time 42.49ms, mfu 8.39%
iter 1080: loss 1.5207, time 41.25ms, mfu 8.45%
iter 1090: loss 1.5259, time 42.57ms, mfu 8.48%
iter 1100: loss 1.4991, time 42.56ms, mfu 8.51%
iter 1110: loss 1.4753, time 41.06ms, mfu 8.57%
iter 1120: loss 1.4709, time 41.35ms, mfu 8.61%
iter 1130: loss 1.4745, time 42.61ms, mfu 8.62%
iter 1140: loss 1.4787, time 42.47ms, mfu 8.64%
iter 1150: loss 1.4772, time 41.48ms, mfu 8.67%
iter 1160: loss 1.5103, time 42.63ms, mfu 8.68%
iter 1170: loss 1.4728, time 42.83ms, mfu 8.68%
iter 1180: loss 1.4904, time 42.45ms, mfu 8.69%
iter 1190: loss 1.4545, time 41.02ms, mfu 8.73%
iter 1200: loss 1.4618, time 41.13ms, mfu 8.76%
iter 1210: loss 1.4499, time 42.02ms, mfu 8.77%
iter 1220: loss 1.4896, time 41.56ms, mfu 8.79%
iter 1230: loss 1.4839, time 42.54ms, mfu 8.79%
iter 1240: loss 1.4691, time 42.66ms, mfu 8.78%
step 1250: train loss 1.3557, val loss 1.5683
saving checkpoint to perp
iter 1250: loss 1.4519, time 4999.19ms, mfu 7.91%
iter 1260: loss 1.4587, time 42.54ms, mfu 8.00%
iter 1270: loss 1.4389, time 41.39ms, mfu 8.10%
iter 1280: loss 1.4287, time 40.90ms, mfu 8.20%
iter 1290: loss 1.4669, time 41.39ms, mfu 8.28%
iter 1300: loss 1.4879, time 40.90ms, mfu 8.36%
iter 1310: loss 1.4133, time 40.94ms, mfu 8.44%
iter 1320: loss 1.4739, time 42.66ms, mfu 8.47%
iter 1330: loss 1.4424, time 40.91ms, mfu 8.53%
iter 1340: loss 1.4812, time 40.96ms, mfu 8.59%
iter 1350: loss 1.4248, time 40.92ms, mfu 8.64%
iter 1360: loss 1.4484, time 40.92ms, mfu 8.69%
